year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2018,France 2,Environnement,340,44656,201,6310,0.05388272583201268,0.3633825682400644,0.6366174317599356
2018,France 3,Environnement,258,26411,181,4798,0.05377240516882034,0.34802393356750483,0.6519760664324951
2018,M6,Environnement,193,15326,138,5487,0.03517404774922544,0.42497779964628846,0.5750222003537115
2018,TF1,Environnement,354,39658,206,6058,0.058435127104655,0.38376840544014895,0.616231594559851
2019,France 2,Environnement,398,50766,212,6002,0.06631122959013662,0.3788897635886644,0.6211102364113357
2019,France 3,Environnement,311,33504,189,4738,0.06563951034191642,0.3508603539792523,0.6491396460207478
2019,M6,Environnement,269,20871,183,5469,0.049186322910952644,0.4384163030894098,0.5615836969105902
2019,TF1,Environnement,421,53265,221,5585,0.07538048343777977,0.4190758031828693,0.5809241968171307
2010,France 2,Faits divers,284,20457,183,7015,0.040484675694939416,0.2798687260951868,0.7201312739048131
2010,France 3,Faits divers,270,20119,184,5197,0.0519530498364441,0.2983292962870903,0.7016707037129097
2010,M6,Faits divers,381,19417,234,5124,0.0743559718969555,0.3960734782522851,0.6039265217477149
2010,TF1,Faits divers,354,25710,214,7168,0.04938616071428571,0.3268777265697555,0.6731222734302444
2011,France 2,Faits divers,453,32787,239,7918,0.05721141702450114,0.3003856275098211,0.6996143724901788
2011,France 3,Faits divers,420,29729,249,5563,0.07549883156570196,0.29821827251532657,0.7017817274846735
2011,M6,Faits divers,539,35662,281,5558,0.09697732997481108,0.3921738155567911,0.6078261844432089
2011,TF1,Faits divers,479,34362,250,7964,0.060145655449522856,0.35015486024680925,0.6498451397531907
2012,France 2,Faits divers,461,36497,222,8241,0.05593981312947458,0.3279118449844103,0.6720881550155897
2012,France 3,Faits divers,405,28293,219,5363,0.07551743427186276,0.3011573633003392,0.6988426366996607
2012,M6,Faits divers,522,35458,271,5533,0.09434303271281402,0.40754850482157173,0.5924514951784282
2012,TF1,Faits divers,475,36477,237,7700,0.06168831168831169,0.36169019916989725,0.6383098008301028
2013,France 2,Faits divers,503,37358,238,8332,0.06036965914546327,0.34255751561709413,0.6574424843829059
2013,France 3,Faits divers,376,27626,216,5181,0.07257286238177958,0.3040360116916624,0.6959639883083376
2013,M6,Faits divers,533,37261,271,5608,0.09504279600570613,0.40690088030543853,0.5930991196945615
2013,TF1,Faits divers,413,32802,231,7037,0.058689782577803044,0.36466221581051017,0.6353377841894897
2014,France 2,Faits divers,303,24519,191,7978,0.03797944346954124,0.3453831363112629,0.6546168636887372
2014,France 3,Faits divers,286,19277,198,5261,0.054362288538300704,0.29673796543057757,0.7032620345694224
2014,M6,Faits divers,465,33044,260,5631,0.08257858284496537,0.41165212943524265,0.5883478705647573
2014,TF1,Faits divers,244,18256,169,6840,0.03567251461988304,0.3705128232989756,0.6294871767010244
2015,France 2,Faits divers,261,21913,136,6711,0.038891372373714796,0.35555616138705537,0.6444438386129447
2015,France 3,Faits divers,246,17246,146,4514,0.05449712007089056,0.29749708521732615,0.7025029147826738
2015,M6,Faits divers,297,20891,180,5172,0.0574245939675174,0.40791561019796263,0.5920843898020374
2015,TF1,Faits divers,241,20157,143,6098,0.039521154476877665,0.35523936684923507,0.6447606331507649
2016,France 2,Faits divers,200,15455,131,6874,0.02909514111143439,0.335066611290767,0.6649333887092331
2016,France 3,Faits divers,212,14550,153,4966,0.04269029399919452,0.3243162183799622,0.6756837816200377
2016,M6,Faits divers,327,22418,218,5909,0.05533931291250634,0.41293177765030864,0.5870682223496914
2016,TF1,Faits divers,172,13346,128,6560,0.02621951219512195,0.37666034338367316,0.6233396566163268
2017,France 2,Faits divers,191,15610,118,6354,0.03005980484734026,0.3575824853419768,0.6424175146580233
2017,France 3,Faits divers,251,18601,158,4785,0.05245559038662487,0.34530453147396,0.65469546852604
2017,M6,Faits divers,285,20609,195,5571,0.05115778136779752,0.4374584978412171,0.562541502158783
2017,TF1,Faits divers,182,17685,128,6100,0.02983606557377049,0.3840220579668857,0.6159779420331143
2018,France 2,Faits divers,253,21380,162,6310,0.04009508716323296,0.3633825682400644,0.6366174317599356
2018,France 3,Faits divers,312,23881,185,4798,0.06502709462275948,0.34802393356750483,0.6519760664324951
2018,M6,Faits divers,352,25321,237,5487,0.06415163112812101,0.42497779964628846,0.5750222003537115
