hour,channel_name,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
14,Toute l'Histoire,0.18743079298137086,0.8125692070186291,357880.04000000004,1559156.8,675
14,Téva,0.4724998638791162,0.5275001361208838,1131505.84,1226974.82,959
14,Voyage,0.23696933642703702,0.763030663572963,416719.30000000005,1363134.58,664
14,W9,0.39352027987952687,0.6064797201204731,1137323.64,1748843.2800000003,1185
15,ARTE,0.264768193398229,0.735231806601771,734840.54,2034589.4,1121
15,Animaux,0.34367720562519516,0.6563227943748048,663094.8200000001,1265993.8,703
15,BFM TV,0.40394075956331166,0.5960592404366883,1529926.48,2262498.38,1179
15,Canal+,0.20694640638476164,0.7930535936152383,560393.1,2240780.38,1166
15,Canal+ Sport,0.056006910598680064,0.94399308940132,100432.48,1894405.36,652
15,Chasse et pêche,0.09632429840491574,0.9036757015950843,157950.27999999997,1464219.6199999999,641
15,Chérie 25,0.4008539375330388,0.5991460624669612,895613.58,1320853.74,794
15,Comédie+,0.2817564433591594,0.7182435566408406,470831.00000000006,1195294.9,641
15,D8/C8,0.26926431714376825,0.7307356828562317,568085.5800000001,1582508.4,867
15,Euronews,0.3511665624159051,0.6488334375840948,630648.0,1161709.6600000001,661
15,Eurosport France,0.06694785993058791,0.9330521400694121,219922.18000000002,3192050.0,1114
15,France 2,0.38962142893079477,0.6103785710692052,1371976.6800000002,2121180.58,1169
15,France 24,0.47055964023509955,0.5294403597649004,1597971.34,1801167.56,1093
15,France 3,0.24759859315972332,0.7524014068402767,771613.02,2338722.3200000003,1143
15,France 5,0.2705145452286545,0.7294854547713455,856215.3999999999,2311160.2600000002,1189
15,France O,0.32958032010746896,0.6704196798925312,946864.22,1926793.16,1103
15,Histoire,0.19852506284007776,0.8014749371599222,506160.83999999997,2047163.9400000002,919
15,I-Télé/CNews,0.3469400080687567,0.6530599919312433,1260206.58,2379712.76,1162
15,L'Equipe 21,0.16037610902438795,0.8396238909756121,382605.5,2041161.28,784
15,LCI,0.34244286710990834,0.6575571328900917,1252311.8,2401885.58,1153
15,LCP/Public Sénat,0.2736674953065554,0.7263325046934446,1046712.24,2774568.38,1169
15,La chaîne Météo,0.2131591641060505,0.7868408358939495,434642.88,1569186.18,679
15,M6,0.42787458170319825,0.5721254182968017,1129592.2,1523467.64,1133
